freq_threshold,binarization_threshold,rule_size,mean_offdiag_iou,max_offdiag_iou,summed_root_volume,domain_root_volume,class_root_volumes
0.005,0.005,94,0.147998,0.442979,88.100519,7.704167,2.295877;29.405875;56.398767
0.005,0.01,94,0.147893,0.441578,87.854945,7.704167,2.564595;29.020539;56.269810
0.005,0.02,94,0.148366,0.443026,88.428957,7.704167,2.555708;29.474481;56.398767
0.005,0.05,94,0.146622,0.437776,88.319626,7.704167,2.555708;28.927863;56.836054
0.005,0.1,89,0.153719,0.459279,68.354794,7.704167,2.555708;28.859257;36.939829
0.01,0.005,94,0.148520,0.444548,88.335613,7.704167,2.295877;29.405875;56.633861
0.01,0.01,94,0.148371,0.443030,88.560879,7.704167,2.564595;29.623099;56.373185
0.01,0.02,94,0.147889,0.441582,87.800815,7.704167,2.555708;28.871922;56.373185
0.01,0.05,94,0.148379,0.443054,88.222734,7.704167,2.555708;28.871922;56.795104
0.01,0.1,89,0.159098,0.475359,70.357269,7.704167,2.555708;29.715774;38.085786
0.02,0.005,102,0.157417,0.438014,94.334107,7.704167,9.692423;28.238361;56.403324
0.02,0.01,102,0.158348,0.441469,94.987785,7.704167,9.692423;28.803315;56.492047
0.02,0.02,102,0.157841,0.439439,94.654157,7.704167,9.692423;28.169754;56.791980
0.02,0.05,102,0.158407,0.441518,95.303827,7.704167,9.692423;29.020539;56.590865
0.02,0.1,89,0.156411,0.467377,68.925645,7.704167,2.555708;29.554492;36.815445
0.05,0.005,97,0.221476,0.662139,87.322453,7.704167,2.555708;27.974764;56.791980
0.05,0.01,97,0.219501,0.656215,87.087359,7.704167,2.555708;27.974764;56.556886
0.05,0.02,94,0.123449,0.368217,85.960575,7.704167,2.555708;26.514068;56.890798
0.05,0.05,90,0.101465,0.301941,87.441562,7.704167,2.555708;28.090033;56.795820
0.05,0.1,87,0.093604,0.278495,63.905599,7.704167,2.555708;24.794160;36.555730
0.1,0.005,103,0.116769,0.347907,81.370730,7.704167,2.555708;18.792713;60.022309
0.1,0.01,103,0.116744,0.347833,81.558272,7.704167,2.555708;18.792713;60.209851
0.1,0.02,101,0.115895,0.345261,80.129282,7.704167,2.555708;18.792713;58.780862
0.1,0.05,98,0.172538,0.515977,84.585476,7.704167,2.555708;26.772513;55.257255
0.1,0.1,92,0.194789,0.582929,83.487834,7.704167,2.555708;27.927379;53.004747
