freq_threshold,binarization_threshold,max_dt_depth,composition_strategy,rule_size,mean_offdiag_iou,max_offdiag_iou,summed_root_volume,domain_root_volume,class_root_volumes,val_accuracy,test_accuracy
0.005,0.005,4,greedy_cover,93,0.201277,0.506065,83.933197,7.704167,2.228707;25.305723;56.398767,0.908946,0.811802
0.005,0.005,4,ilp_optimal,94,0.147998,0.442979,88.100519,7.704167,2.295877;29.405875;56.398767,0.904153,0.802233
0.005,0.005,5,greedy_cover,93,0.201277,0.506065,83.933197,7.704167,2.228707;25.305723;56.398767,0.908946,0.811802
0.005,0.005,5,ilp_optimal,94,0.147998,0.442979,88.100519,7.704167,2.295877;29.405875;56.398767,0.904153,0.802233
0.005,0.005,6,greedy_cover,93,0.201277,0.506065,83.933197,7.704167,2.228707;25.305723;56.398767,0.908946,0.811802
0.005,0.005,6,ilp_optimal,94,0.147998,0.442979,88.100519,7.704167,2.295877;29.405875;56.398767,0.904153,0.802233
0.005,0.005,7,greedy_cover,93,0.201277,0.506065,83.933197,7.704167,2.228707;25.305723;56.398767,0.908946,0.811802
0.005,0.005,7,ilp_optimal,94,0.147998,0.442979,88.100519,7.704167,2.295877;29.405875;56.398767,0.904153,0.802233
0.005,0.005,8,greedy_cover,93,0.201277,0.506065,83.933197,7.704167,2.228707;25.305723;56.398767,0.908946,0.811802
0.005,0.005,8,ilp_optimal,94,0.147998,0.442979,88.100519,7.704167,2.295877;29.405875;56.398767,0.904153,0.802233
0.005,0.005,9,greedy_cover,93,0.201277,0.506065,83.933197,7.704167,2.228707;25.305723;56.398767,0.908946,0.811802
0.005,0.005,9,ilp_optimal,94,0.147998,0.442979,88.100519,7.704167,2.295877;29.405875;56.398767,0.904153,0.802233
0.005,0.005,10,greedy_cover,93,0.201277,0.506065,83.933197,7.704167,2.228707;25.305723;56.398767,0.908946,0.811802
0.005,0.005,10,ilp_optimal,94,0.147998,0.442979,88.100519,7.704167,2.295877;29.405875;56.398767,0.904153,0.802233
0.005,0.01,4,greedy_cover,94,0.203597,0.511114,84.247171,7.704167,2.228707;25.748654;56.269810,0.908946,0.814992
0.005,0.01,4,ilp_optimal,94,0.147893,0.441578,87.854945,7.704167,2.564595;29.020539;56.269810,0.904153,0.802233
0.005,0.01,5,greedy_cover,94,0.203597,0.511114,84.247171,7.704167,2.228707;25.748654;56.269810,0.908946,0.814992
0.005,0.01,5,ilp_optimal,94,0.147893,0.441578,87.854945,7.704167,2.564595;29.020539;56.269810,0.904153,0.802233
0.005,0.01,6,greedy_cover,94,0.203597,0.511114,84.247171,7.704167,2.228707;25.748654;56.269810,0.908946,0.814992
0.005,0.01,6,ilp_optimal,94,0.147893,0.441578,87.854945,7.704167,2.564595;29.020539;56.269810,0.904153,0.802233
0.005,0.01,7,greedy_cover,94,0.203597,0.511114,84.247171,7.704167,2.228707;25.748654;56.269810,0.908946,0.814992
0.005,0.01,7,ilp_optimal,94,0.147893,0.441578,87.854945,7.704167,2.564595;29.020539;56.269810,0.904153,0.802233
0.005,0.01,8,greedy_cover,94,0.203597,0.511114,84.247171,7.704167,2.228707;25.748654;56.269810,0.908946,0.814992
0.005,0.01,8,ilp_optimal,94,0.147893,0.441578,87.854945,7.704167,2.564595;29.020539;56.269810,0.904153,0.802233
0.005,0.01,9,greedy_cover,94,0.203597,0.511114,84.247171,7.704167,2.228707;25.748654;56.269810,0.908946,0.814992
0.005,0.01,9,ilp_optimal,94,0.147893,0.441578,87.854945,7.704167,2.564595;29.020539;56.269810,0.904153,0.802233
0.005,0.01,10,greedy_cover,94,0.203597,0.511114,84.247171,7.704167,2.228707;25.748654;56.269810,0.908946,0.814992
0.005,0.01,10,ilp_optimal,94,0.147893,0.441578,87.854945,7.704167,2.564595;29.020539;56.269810,0.904153,0.802233
0.005,0.02,4,greedy_cover,93,0.201399,0.506099,84.001803,7.704167,2.228707;25.374329;56.398767,0.908946,0.811802
0.005,0.02,4,ilp_optimal,94,0.148366,0.443026,88.428957,7.704167,2.555708;29.474481;56.398767,0.904153,0.803828
0.005,0.02,5,greedy_cover,93,0.201399,0.506099,84.001803,7.704167,2.228707;25.374329;56.398767,0.908946,0.811802
0.005,0.02,5,ilp_optimal,94,0.148366,0.443026,88.428957,7.704167,2.555708;29.474481;56.398767,0.904153,0.803828
0.005,0.02,6,greedy_cover,93,0.201399,0.506099,84.001803,7.704167,2.228707;25.374329;56.398767,0.908946,0.811802
0.005,0.02,6,ilp_optimal,94,0.148366,0.443026,88.428957,7.704167,2.555708;29.474481;56.398767,0.904153,0.803828
0.005,0.02,7,greedy_cover,93,0.201399,0.506099,84.001803,7.704167,2.228707;25.374329;56.398767,0.908946,0.811802
0.005,0.02,7,ilp_optimal,94,0.148366,0.443026,88.428957,7.704167,2.555708;29.474481;56.398767,0.904153,0.803828
0.005,0.02,8,greedy_cover,93,0.201399,0.506099,84.001803,7.704167,2.228707;25.374329;56.398767,0.908946,0.811802
0.005,0.02,8,ilp_optimal,94,0.148366,0.443026,88.428957,7.704167,2.555708;29.474481;56.398767,0.904153,0.803828
0.005,0.02,9,greedy_cover,93,0.201399,0.506099,84.001803,7.704167,2.228707;25.374329;56.398767,0.908946,0.811802
0.005,0.02,9,ilp_optimal,94,0.148366,0.443026,88.428957,7.704167,2.555708;29.474481;56.398767,0.904153,0.803828
0.005,0.02,10,greedy_cover,93,0.201399,0.506099,84.001803,7.704167,2.228707;25.374329;56.398767,0.908946,0.811802
