freq_threshold,filter,rule_size,mean_offdiag_iou,summed_root_volume,domain_root_volume,class_root_volumes
0.005,0.005,93,0.201277,83.933197,7.704167,2.228707;25.305723;56.398767
0.005,0.01,94,0.203597,84.247171,7.704167,2.228707;25.748654;56.269810
0.005,0.02,93,0.201399,84.001803,7.704167,2.228707;25.374329;56.398767
0.005,0.05,94,0.202629,84.827273,7.704167,2.228707;25.762511;56.836054
0.005,0.1,93,0.183748,81.503791,7.704167,2.046319;25.454340;54.003131
0.01,0.005,94,0.202437,84.301322,7.704167,2.228707;25.438754;56.633861
0.01,0.01,93,0.201397,84.124839,7.704167,2.228707;25.522947;56.373185
0.01,0.02,94,0.203663,84.308462,7.704167,2.228707;25.706570;56.373185
0.01,0.05,93,0.203796,84.490816,7.704167,2.228707;25.467005;56.795104
0.01,0.1,94,0.185185,81.275935,7.704167,2.046319;25.748654;53.480961
0.02,0.005,101,0.208393,90.602189,7.704167,9.365421;24.833444;56.403324
0.02,0.01,102,0.209693,91.388898,7.704167,9.365421;25.531430;56.492047
0.02,0.02,101,0.208884,90.922239,7.704167,9.365421;24.764838;56.791980
0.02,0.05,102,0.209931,91.811474,7.704167,9.365421;25.855187;56.590865
0.02,0.1,94,0.182453,80.443457,7.704167,2.046319;25.587372;52.809765
0.05,0.005,96,0.232895,85.661769,7.704167,2.228707;26.641083;56.791980
0.05,0.01,96,0.232120,85.426676,7.704167,2.228707;26.641083;56.556886
0.05,0.02,96,0.233012,85.829194,7.704167,2.228707;26.709689;56.890798
0.05,0.05,88,0.216680,83.518351,7.704167,2.228707;24.493824;56.795820
0.05,0.1,89,0.198561,75.400490,7.704167,2.046319;23.798589;49.555582
0.1,0.005,104,0.199834,82.894524,7.704167,2.228707;20.643507;60.022309
0.1,0.01,104,0.199813,83.082065,7.704167,2.228707;20.643507;60.209851
0.1,0.02,104,0.201839,79.168221,7.704167,2.228707;20.643507;56.296007
0.1,0.05,105,0.269989,89.692776,7.704167,2.228707;23.798589;63.665481
0.1,0.1,81,0.158337,71.274916,7.704167,2.046319;16.223850;53.004747
